0,Algona
1,Auburn
2,Beaux Arts Village
3,Bellevue
4,Black Diamond
5,Bothell
6,Burien
7,Carnation
8,Clyde Hill
9,Covington
10,Des Moines
11,Duvall
12,Enumclaw
13,Federal Way
14,Hunts Point
15,Issaquah
16,Kenmore
17,Kent
18,Kirkland
19,Lake Forest Park
20,Maple Valley
21,Medina
22,Mercer Island
23,Milton
24,Newcastle
25,Normandy Park
26,North Bend
27,Pacific
28,Redmond
29,Renton
30,Sammamish
31,SeaTac
32,Seattle
33,Shoreline
34,Skykomish
35,Snoqualmie
36,Tukwila
37,Woodinville
38,Yarrow Point
